Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)
T+     7.2s [W→cam] f44400020f05219d02010103891e0101032fef00
T+     7.3s [W←cam] f15100020a01049da9130103bdfa00
T+     7.3s [W→cam] f48500020f03219e021204018f1e0104028f8900
T+     7.4s [W←cam] f19200020a01049ea9130103f9fa00
T+     7.4s [W→cam] f4c0
T+     7.5s [W→cam] f4c60002a804239f9c03dc320101038b1e010102272a636f6d2e676f6f676c65
T+     7.6s [W←cam] f1d300020c01049fab1301010103332e00
T+     7.7s [W←cam] f1d400022f052b9ae918010101021b0101021b01010a8a03180a16088b3d1014
T+     7.7s [W←cam] f1d500021a03229b038d1e01010405012b03022b03035302810104047aee00
T+     7.7s [W→cam] f507000231042b800701010101021d0101021d01010bda021a4a182a1209a5a5
T+     7.7s [W→cam] f580
T+     7.7s [W←cam] f216000211010480b3130207010101010101033a8800
T+     7.7s [W→cam] f5c800020b01049baa13010103738700
T+     7.7s [W←cam] f217000245042c9c0701010101023101010231010107da022e522c080b18a7a3
T+     7.7s [W→cam] f600
T+     7.8s [W←cam] f240
T+     7.8s [W→cam] f60900021101049ab31303e918010101010103f4aa00
T+     7.8s [W←cam] f280
T+     7.8s [W→cam] f60a00021101049cb413020701010101010103f11300
T+     7.9s [W←cam] f2c0
T+     7.9s [W→cam] f60b000229052c81e91801010102150101021501010c8a031212100801108b3d
T+     8.1s [W←cam] f318000211010481b41303e918010101010103cafa00
T+     8.1s [W←cam] f31900021c052b9dea180101010208010102080101063a06420408051003f1b3
T+     8.2s [W→cam] f68c000237042b82080101010102230101022301010cda02200a1e0a140a1209
T+     8.2s [W←cam] f31a000764012b9eeb180101010350010103500101ff12cd022aca020a526874
T+     8.2s [W←cam] f31b44120a333530323830363538332a270a17582d4761726d696e2d53572d50
T+     8.2s [W←cam] f35c000211010482b313020801010101010103830f00
T+     8.2s [W→cam] f74d00021101049db31303ea18010101010103417400
T+     8.2s [W←cam] f35d000222042c800801010101020e0101020e010107da020b12090802100818
T+     8.2s [W→cam] f780
T+     8.3s [W→cam] <REDACTED_ID>
T+     8.3s [W←cam] f380
T+     8.3s [W←cam] <REDACTED_ID>
T+     8.3s [W→cam] f78e00021101049eb31303eb1801010101010384bc00
T+     8.3s [W→cam] a0000000a3010000
T+     8.4s [W←cam] a040000000
T+     8.4s [W→cam] a040
T+     8.4s [W←cam] a04138cb8c90bd4e4241148467e61eb817880a88a2893f5456c4c4ca16154d6c
T+     8.4s [W←cam] a042552155c8146ade4ab1b088bcc30533be79552fe029f08eb430f1f2083980
T+     8.4s [W←cam] f3c0
T+     8.4s [W←cam] a04320a14b898cae49b4e8160929489b906aac10ab445f3a420c846515197127
T+     8.4s [W→cam] f78f000211010480b41302080101010101010360bc00
T+     8.4s [W→cam] a100
T+     8.5s [W←cam] <REDACTED_ID>
T+     8.5s [W←cam] f41e000230052b81ed18010101021c0101021c01010ada02192a170a12090901
T+     8.5s [W→cam] f7d0000295042383890338ce0101038d1e010102272a636f6d2e676f6f676c65
T+     8.6s [W←cam] f45f00020c010483ab1301010103eeef00
T+     8.6s [W←cam] f46000021a032282038e1e01010405012b03022b0303530281010404b5a200
T+     8.6s [W→cam] f851000211010481b31303ed18010101010103d17d00
T+     8.6s [W←cam] f480
T+     8.6s [W→cam] f85200020b010482aa13010103718e00
T+     8.7s [W←cam] f4c0
T+     8.7s [W→cam] f853000230052c84ea18010101021c0101021c0101083a1a4a18080110041a12
T+     8.8s [W←cam] f521000211010484b41303ea1801010101010386e300
T+     8.8s [W→cam] f894000750042c86eb18010101033c0401033c04010812b90832b60808ff10c8
T+     8.8s [W→cam] f89532362030363a34323a353520474d542a0c0a07657870697265731201302a
T+     8.8s [W→cam] f8966f72742f76343f733d3474575653482532426c6f56375937794f786d4c76
T+     8.8s [W→cam] f897383735303638354445323836344335303b20506174683d2f6d6573736167
T+     8.8s [W→cam] f8982d50726f746f636f6c1208687474702f312e312a260a15582d416e64726f
T+     8.9s [W←cam] f5c0
T+     8.9s [W←cam] f662000211010486b41303eb18010101010103bee800
T+     8.9s [W→cam] f8d900020f05218502010103881e010103925000
T+     9.0s [W←cam] f6a300020a010485a91301039df800
T+     9.0s [W→cam] f91a00020f05218702010103891e0101030e5a00
T+     9.0s [W←cam] f6e400020a010487a9130103e43800
T+     9.0s [W→cam] f95b00020f032188031a0c03901e010406367500
T+     9.1s [W←cam] f72500020a010488a9130103b03900
T+     9.1s [W→cam] f99c00020f05218902010103881e010103526f00
T+     9.2s [W←cam] f76600020a010489a91301038df900
T+     9.2s [W→cam] f9dd00020f05218a02010103891e0101039fa000
T+     9.2s [W←cam] f7a700020a01048aa9130103c9f900
T+     9.2s [W→cam] fa1e00026b04238b5f03cac40101038e1e0101021417636f6d2e726564646974
T+     9.3s [W←cam] f7e800020c01048bab1301010103672f00
T+     9.3s [W←cam] f7e900021a032283038f1e01010405012b03022b0303530281010404988f00
